city,pincode,date,population_density,no_of_hospitals,avg_capacity,pm2_5,pm10,temperature_mean_c,relative_humidity_mean,uv_index_mean,rain_mm,is_weekend,is_festival,school_open,month,respiratory_risk,flu_risk,vector_risk,gastro_risk,patient_load,respiratory_cases,flu_cases,vector_cases,gastro_cases,other_cases
Chennai,600001,2025-01-04,21724,2,127,72.6,79.8,31.3,84.5,4.9,0.8,1,0,1,1,0.285,0.18,0.418,0.07,298,71,45,104,15,63
Chennai,600001,2025-01-05,21724,2,127,67.7,82.4,27.4,88.8,4.9,1.8,1,0,1,1,0.256,0.18,0.435,0.07,290,63,44,97,20,66
Chennai,600001,2025-01-06,21724,2,127,67.2,89.6,30.7,84.3,3.5,0.4,0,0,1,1,0.253,0.18,0.417,0.07,260,55,42,96,17,50
Chennai,600001,2025-01-07,21724,2,127,65.5,73.9,30.2,84.8,5.4,0.1,0,0,1,1,0.243,0.18,0.419,0.07,265,62,39,99,14,51
Chennai,600001,2025-01-08,21724,2,127,48.2,75.9,30.5,81.1,6.4,0.8,0,0,1,1,0.139,0.18,0.404,0.07,246,34,47,90,14,61
Chennai,600001,2025-01-09,21724,2,127,70.8,72.7,31.1,80.2,5.4,4.7,0,0,1,1,0.275,0.18,0.421,0.07,262,53,42,79,22,66
Chennai,600001,2025-01-10,21724,2,127,69.6,87.9,31.5,90.1,6.6,1.0,0,0,1,1,0.268,0.18,0.441,0.07,299,70,53,86,21,69
Chennai,600001,2025-01-11,21724,2,127,67.8,93.9,29.7,85.9,6.4,2.5,1,0,1,1,0.257,0.18,0.424,0.07,284,63,33,116,18,54
Chennai,600001,2025-01-12,21724,2,127,58.7,72.3,31.6,82.7,5.8,3.4,1,0,1,1,0.202,0.18,0.431,0.07,290,43,47,106,21,73
Chennai,600001,2025-01-13,21724,2,127,80.6,103.2,30.3,74.4,4.3,0.8,0,0,1,1,0.334,0.18,0.378,0.07,271,80,40,78,23,50
Chennai,600001,2025-01-14,21724,2,127,80.6,94.3,31.1,90.2,5.4,1.8,0,1,1,1,0.534,0.38,0.441,0.09,308,100,58,91,10,49
Chennai,600001,2025-01-15,21724,2,127,48.6,55.9,30.7,75.0,5.3,0.9,0,0,1,1,0.142,0.18,0.38,0.07,247,35,52,88,12,60
Chennai,600001,2025-01-16,21724,2,127,57.8,77.3,30.4,88.1,6.5,0.5,0,0,1,1,0.197,0.18,0.432,0.07,267,44,44,109,12,58
Chennai,600001,2025-01-17,21724,2,127,81.1,96.3,31.3,83.9,4.0,0.1,0,0,1,1,0.337,0.18,0.416,0.07,269,77,47,98,7,40
Chennai,600001,2025-01-18,21724,2,127,68.9,75.0,32.1,85.7,5.2,0.0,1,0,1,1,0.264,0.18,0.423,0.071,281,57,47,99,11,67
Chennai,600001,2025-01-19,21724,2,127,79.5,88.0,31.8,83.0,5.6,0.1,1,0,1,1,0.327,0.18,0.412,0.07,314,83,47,102,18,64
Chennai,600001,2025-01-20,21724,2,127,61.9,71.4,31.4,78.7,5.3,2.1,0,0,1,1,0.222,0.18,0.395,0.07,270,47,59,84,14,66
Chennai,600001,2025-01-21,21724,2,127,71.4,79.6,30.5,73.0,4.6,0.0,0,0,1,1,0.278,0.18,0.372,0.07,272,78,36,84,18,56
Chennai,600001,2025-01-22,21724,2,127,74.0,84.2,32.4,79.4,5.2,0.4,0,0,1,1,0.294,0.18,0.397,0.074,248,53,38,80,19,58
Chennai,600001,2025-01-23,21724,2,127,72.5,93.8,31.6,81.4,5.8,1.1,0,0,1,1,0.285,0.18,0.406,0.07,314,65,50,109,26,64
Chennai,600001,2025-01-24,21724,2,127,63.2,72.3,31.9,78.2,6.0,1.9,0,0,1,1,0.229,0.18,0.393,0.07,271,68,32,88,15,68
Chennai,600001,2025-01-25,21724,2,127,71.6,89.2,31.3,85.7,5.4,1.6,1,0,1,1,0.28,0.18,0.423,0.07,285,59,40,112,17,57
Chennai,600001,2025-01-26,21724,2,127,74.1,98.1,31.0,86.7,4.9,1.8,1,0,1,1,0.294,0.18,0.427,0.07,268,63,43,91,18,53
Chennai,600001,2025-01-27,21724,2,127,77.9,90.7,32.6,83.8,6.5,0.3,0,0,1,1,0.318,0.18,0.415,0.076,299,76,44,93,13,73
Chennai,600001,2025-01-28,21724,2,127,60.2,68.4,32.3,85.3,6.5,4.9,0,0,1,1,0.211,0.18,0.441,0.073,277,50,36,106,21,64
Chennai,600001,2025-01-29,21724,2,127,64.1,78.5,31.2,92.8,5.2,0.7,0,0,1,1,0.235,0.18,0.451,0.07,273,44,46,100,17,66
Chennai,600001,2025-01-30,21724,2,127,69.6,82.0,31.9,87.2,5.6,3.1,0,0,1,1,0.268,0.18,0.449,0.07,256,54,40,97,19,46
Chennai,600001,2025-01-31,21724,2,127,60.4,80.7,30.7,82.9,6.3,3.8,0,0,1,1,0.212,0.18,0.431,0.07,265,42,54,91,15,63
Chennai,600001,2025-02-01,21724,2,127,71.0,81.4,34.4,83.3,6.8,1.1,1,0,1,2,0.276,0.18,0.413,0.094,300,78,47,90,30,55
Chennai,600001,2025-02-02,21724,2,127,48.7,70.2,32.2,77.2,6.1,0.5,1,0,1,2,0.142,0.18,0.389,0.072,285,42,50,102,22,69
Chennai,600001,2025-02-03,21724,2,127,52.1,71.3,32.6,91.9,6.2,0.3,0,0,1,2,0.162,0.18,0.448,0.076,258,38,45,99,14,62
Chennai,600001,2025-02-04,21724,2,127,49.0,57.7,32.2,82.8,5.7,0.5,0,0,1,2,0.144,0.18,0.411,0.072,269,36,42,104,10,77
Chennai,600001,2025-02-05,21724,2,127,52.2,72.0,34.0,88.1,6.1,0.2,0,0,1,2,0.163,0.18,0.432,0.09,265,37,52,93,20,63
Chennai,600001,2025-02-06,21724,2,127,43.8,70.4,30.5,83.0,6.5,0.1,0,0,1,2,0.113,0.18,0.412,0.07,252,26,43,118,13,52
Chennai,600001,2025-02-07,21724,2,127,54.8,63.0,31.0,84.8,5.4,0.2,0,0,1,2,0.179,0.18,0.419,0.07,264,39,48,95,10,72
Chennai,600001,2025-02-08,21724,2,127,62.2,82.9,30.7,87.8,6.3,2.8,1,0,1,2,0.223,0.18,0.431,0.07,286,57,50,103,15,61
Chennai,600001,2025-02-09,21724,2,127,55.7,78.6,31.4,86.7,6.0,1.0,1,0,1,2,0.184,0.18,0.427,0.07,284,47,39,104,14,80
Chennai,600001,2025-02-10,21724,2,127,62.8,70.3,32.6,90.4,5.4,0.0,0,0,1,2,0.227,0.18,0.441,0.076,245,42,33,95,20,55
Chennai,600001,2025-02-11,21724,2,127,50.1,63.6,31.4,71.9,7.6,1.1,0,0,1,2,0.151,0.18,0.368,0.07,255,37,56,92,13,57
Chennai,600001,2025-02-12,21724,2,127,49.7,57.7,33.8,82.8,6.7,0.1,0,0,1,2,0.148,0.18,0.411,0.088,267,35,45,96,26,65
Chennai,600001,2025-02-13,21724,2,127,76.2,113.0,34.2,79.4,7.2,0.0,0,0,1,2,0.307,0.18,0.398,0.092,303,67,41,97,29,69
Chennai,600001,2025-02-14,21724,2,127,61.4,86.6,34.0,92.2,6.1,1.0,0,0,1,2,0.218,0.18,0.449,0.09,254,39,37,100,24,54
Chennai,600001,2025-02-15,21724,2,127,62.0,69.8,31.2,83.8,7.1,4.1,1,0,1,2,0.222,0.18,0.435,0.07,298,51,50,111,15,71
Chennai,600001,2025-02-16,21724,2,127,47.0,48.2,33.8,74.4,5.9,0.0,1,0,1,2,0.132,0.18,0.377,0.088,300,38,53,96,26,87
Chennai,600001,2025-02-17,21724,2,127,32.0,60.1,31.7,84.3,7.4,0.7,0,0,1,2,0.042,0.18,0.417,0.07,252,13,46,111,21,61
Chennai,600001,2025-02-18,21724,2,127,56.2,71.6,32.9,95.0,5.9,1.2,0,0,1,2,0.187,0.18,0.46,0.079,271,35,47,107,17,65
Chennai,600001,2025-02-19,21724,2,127,47.5,53.4,33.2,82.2,7.2,1.4,0,0,1,2,0.135,0.18,0.409,0.082,259,29,61,97,17,55
Chennai,600001,2025-02-20,21724,2,127,58.0,90.2,34.9,84.8,6.4,0.1,0,0,1,2,0.198,0.18,0.419,0.099,282,53,41,113,23,52
Chennai,600001,2025-02-21,21724,2,127,62.4,92.4,33.5,80.9,6.8,0.3,0,0,1,2,0.224,0.18,0.404,0.085,277,55,42,104,17,59
Chennai,600001,2025-02-22,21724,2,127,60.6,85.1,32.5,79.8,7.9,6.7,1,0,1,2,0.213,0.18,0.419,0.075,273,58,39,107,16,53
Chennai,600001,2025-02-23,21724,2,127,48.8,63.0,33.1,80.6,8.6,0.4,1,0,1,2,0.143,0.18,0.403,0.081,270,37,46,104,18,65
Chennai,600001,2025-02-24,21724,2,127,51.9,68.4,33.6,86.3,6.0,0.3,0,0,1,2,0.161,0.18,0.425,0.086,284,34,39,117,26,68
Chennai,600001,2025-02-25,21724,2,127,50.8,61.0,33.5,84.8,6.3,0.4,0,0,1,2,0.155,0.18,0.419,0.085,266,46,50,96,19,55
Chennai,600001,2025-02-26,21724,2,127,71.4,88.3,30.7,84.9,6.5,0.9,0,0,1,2,0.278,0.18,0.419,0.07,273,60,48,100,13,52
Chennai,600001,2025-02-27,21724,2,127,53.9,63.4,35.0,84.8,7.3,0.6,0,0,1,2,0.173,0.18,0.419,0.1,266,44,40,96,25,61
Chennai,600001,2025-02-28,21724,2,127,44.6,48.5,31.0,86.8,6.5,0.7,0,0,1,2,0.118,0.18,0.427,0.07,278,33,46,118,15,66
Chennai,600001,2025-03-01,21724,2,127,58.0,73.0,34.0,95.0,6.7,0.7,1,0,1,3,0.198,0.13,0.46,0.09,254,47,17,120,18,52
Chennai,600001,2025-03-02,21724,2,127,59.1,80.9,33.3,81.1,7.6,1.6,1,0,1,3,0.204,0.13,0.404,0.083,288,54,39,119,15,61
Chennai,600001,2025-03-03,21724,2,127,57.9,73.4,31.6,81.1,7.1,0.4,0,0,1,3,0.197,0.13,0.404,0.07,265,61,33,103,14,54
Chennai,600001,2025-03-04,21724,2,127,51.8,67.5,32.2,83.8,6.7,0.1,0,0,1,3,0.161,0.13,0.415,0.072,264,38,31,104,20,71
Chennai,600001,2025-03-05,21724,2,127,56.2,68.0,32.9,79.2,6.3,0.0,0,0,1,3,0.187,0.13,0.397,0.079,260,58,27,95,16,64
Chennai,600001,2025-03-06,21724,2,127,64.1,66.2,32.3,84.8,7.6,1.2,0,0,1,3,0.235,0.13,0.419,0.073,255,50,28,105,29,43
Chennai,600001,2025-03-07,21724,2,127,60.3,59.2,34.0,78.6,9.0,2.7,0,0,1,3,0.212,0.13,0.394,0.09,286,49,38,106,25,68
Chennai,600001,2025-03-08,21724,2,127,55.4,77.8,33.5,82.9,7.1,0.3,1,0,1,3,0.183,0.13,0.412,0.085,280,44,31,119,25,61
Chennai,600001,2025-03-09,21724,2,127,52.5,85.5,33.1,79.6,6.7,4.4,1,0,1,3,0.165,0.13,0.419,0.081,286,45,40,115,16,70
Chennai,600001,2025-03-10,21724,2,127,58.4,66.2,31.2,75.2,8.7,4.5,0,0,1,3,0.201,0.13,0.401,0.07,297,57,34,116,26,64
Chennai,600001,2025-03-11,21724,2,127,58.0,70.1,34.2,77.2,6.9,0.9,0,0,1,3,0.198,0.13,0.389,0.092,259,60,43,80,15,61
Chennai,600001,2025-03-12,21724,2,127,46.2,64.9,33.5,85.0,6.7,0.8,0,0,1,3,0.127,0.13,0.42,0.085,257,35,33,103,30,56
Chennai,600001,2025-03-13,21724,2,127,56.9,81.2,34.9,93.4,8.0,0.1,0,0,1,3,0.191,0.13,0.454,0.099,286,51,45,120,16,54
Chennai,600001,2025-03-14,21724,2,127,52.8,64.0,36.0,78.4,6.5,0.8,0,1,1,3,0.367,0.33,0.393,0.13,285,59,66,88,23,49
Chennai,600001,2025-03-15,21724,2,127,53.9,67.8,31.9,86.1,7.9,0.0,1,0,1,3,0.173,0.13,0.424,0.07,299,59,36,106,20,78
Chennai,600001,2025-03-16,21724,2,127,65.6,84.4,32.7,85.4,8.3,0.1,1,0,1,3,0.244,0.13,0.422,0.077,308,74,35,121,23,55
Chennai,600001,2025-03-17,21724,2,127,57.3,62.4,32.3,91.5,7.4,0.0,0,0,1,3,0.194,0.13,0.446,0.073,262,36,39,116,16,55
Chennai,600001,2025-03-18,21724,2,127,51.5,76.1,33.7,81.1,8.1,1.7,0,0,1,3,0.159,0.13,0.404,0.087,251,43,25,103,18,62
Chennai,600001,2025-03-19,21724,2,127,72.5,91.4,32.3,87.9,6.9,0.0,0,0,1,3,0.285,0.13,0.432,0.073,278,65,38,103,18,54
Chennai,600001,2025-03-20,21724,2,127,35.0,56.1,33.1,77.1,6.9,1.3,0,0,1,3,0.06,0.13,0.388,0.081,255,13,39,116,27,60
Chennai,600001,2025-03-21,21724,2,127,42.2,52.5,34.6,82.4,7.5,0.0,0,0,1,3,0.103,0.13,0.41,0.096,246,21,29,105,25,66
Chennai,600001,2025-03-22,21724,2,127,49.5,66.7,31.8,79.7,6.5,0.2,1,0,1,3,0.147,0.13,0.399,0.07,290,37,38,121,19,75
Chennai,600001,2025-03-23,21724,2,127,47.4,74.5,32.5,82.8,8.4,0.7,1,0,1,3,0.134,0.13,0.411,0.075,294,38,40,128,19,69
Chennai,600001,2025-03-24,21724,2,127,41.3,69.8,32.4,83.1,7.9,1.4,0,0,1,3,0.098,0.13,0.413,0.074,239,18,31,95,24,71
Chennai,600001,2025-03-25,21724,2,127,65.8,90.8,35.6,86.6,7.6,0.0,0,0,1,3,0.245,0.13,0.426,0.106,274,62,25,106,16,65
Chennai,600001,2025-03-26,21724,2,127,49.7,61.5,34.8,90.6,8.2,0.2,0,0,1,3,0.148,0.13,0.442,0.098,258,31,26,111,27,63
Chennai,600001,2025-03-27,21724,2,127,42.4,62.4,33.0,86.0,7.8,1.1,0,0,1,3,0.105,0.13,0.424,0.08,255,24,30,117,21,63
Chennai,600001,2025-03-28,21724,2,127,51.9,75.8,33.7,80.3,7.3,1.0,0,0,1,3,0.161,0.13,0.401,0.087,249,35,34,100,25,55
Chennai,600001,2025-03-29,21724,2,127,68.3,70.9,35.7,87.5,8.4,0.8,1,0,1,3,0.26,0.13,0.43,0.107,299,70,35,110,29,55
Chennai,600001,2025-03-30,21724,2,127,61.0,77.6,35.3,73.4,8.5,0.4,1,0,1,3,0.216,0.13,0.374,0.103,285,56,33,98,24,74
Chennai,600001,2025-03-31,21724,2,127,53.9,73.8,32.6,84.1,7.8,0.0,0,0,1,3,0.173,0.13,0.416,0.076,254,41,32,99,15,67
Chennai,600001,2025-04-01,21724,2,127,55.9,70.9,34.0,77.7,7.9,1.5,0,1,1,4,0.386,0.33,0.391,0.11,291,77,67,75,25,47
Chennai,600001,2025-04-02,21724,2,127,36.9,51.6,33.6,79.0,5.8,1.9,0,0,1,4,0.071,0.13,0.396,0.086,226,15,27,97,24,63
Chennai,600001,2025-04-03,21724,2,127,55.9,85.9,34.3,82.1,7.9,0.7,0,0,1,4,0.186,0.13,0.408,0.093,261,47,22,97,22,73
Chennai,600001,2025-04-04,21724,2,127,62.6,67.9,35.4,86.8,8.8,0.1,0,0,1,4,0.226,0.13,0.427,0.104,272,57,34,98,26,57
Chennai,600001,2025-04-05,21724,2,127,57.9,69.4,32.9,85.0,9.1,0.0,1,0,1,4,0.198,0.13,0.42,0.079,278,52,35,102,28,61
Chennai,600001,2025-04-06,21724,2,127,49.2,68.7,34.1,79.1,7.2,1.4,1,0,1,4,0.145,0.13,0.397,0.091,265,36,30,107,30,62
Chennai,600001,2025-04-07,21724,2,127,61.1,87.9,31.7,86.7,8.1,0.0,0,0,1,4,0.217,0.13,0.427,0.07,258,39,39,104,15,61
Chennai,600001,2025-04-08,21724,2,127,47.9,83.9,34.9,82.1,8.5,2.3,0,0,1,4,0.137,0.13,0.408,0.099,270,34,37,108,30,61
Chennai,600001,2025-04-09,21724,2,127,67.8,91.0,33.7,77.5,8.1,0.6,0,0,1,4,0.257,0.13,0.39,0.087,282,54,31,95,21,81
Chennai,600001,2025-04-10,21724,2,127,44.6,72.4,35.4,72.5,9.1,0.7,0,0,1,4,0.117,0.13,0.37,0.104,263,33,25,107,33,65
Chennai,600001,2025-04-11,21724,2,127,50.2,70.4,35.3,74.4,8.4,0.1,0,0,1,4,0.151,0.13,0.377,0.103,253,40,32,93,32,56
Chennai,600001,2025-04-12,21724,2,127,53.1,72.3,34.6,78.0,8.8,0.0,1,0,1,4,0.169,0.13,0.392,0.096,287,54,32,112,18,71
Chennai,600001,2025-04-13,21724,2,127,60.4,81.3,35.5,75.9,6.7,0.3,1,0,1,4,0.212,0.13,0.384,0.105,289,44,43,104,40,58
Chennai,600001,2025-04-14,21724,2,127,48.4,65.7,34.0,77.5,8.5,0.0,0,0,1,4,0.14,0.13,0.39,0.09,239,23,33,108,24,51
Chennai,600001,2025-04-15,21724,2,127,42.9,69.0,33.6,83.1,8.0,0.4,0,0,1,4,0.108,0.13,0.412,0.086,260,34,40,107,20,59
Chennai,600001,2025-04-16,21724,2,127,41.7,61.9,33.0,88.3,7.6,0.2,0,0,1,4,0.1,0.13,0.433,0.08,266,35,34,109,15,73
Chennai,600001,2025-04-17,21724,2,127,62.5,63.6,32.2,78.8,8.6,1.0,0,0,1,4,0.225,0.13,0.395,0.072,264,52,30,101,16,65
Chennai,600001,2025-04-18,21724,2,127,51.0,61.9,34.0,76.2,7.4,1.0,0,0,1,4,0.156,0.13,0.385,0.09,272,40,28,107,29,68
Chennai,600001,2025-04-19,21724,2,127,57.8,78.6,32.3,79.6,8.5,0.2,1,0,1,4,0.197,0.13,0.398,0.073,270,46,37,109,11,67
Chennai,600001,2025-04-20,21724,2,127,38.6,41.2,34.5,82.2,8.3,5.9,1,0,1,4,0.082,0.13,0.429,0.095,283,30,30,115,32,76
Chennai,600001,2025-04-21,21724,2,127,46.0,48.9,35.6,83.1,7.2,0.4,0,0,1,4,0.126,0.13,0.412,0.106,276,35,30,120,36,55
Chennai,600001,2025-04-22,21724,2,127,55.1,64.8,32.9,80.8,8.1,0.0,0,0,1,4,0.181,0.13,0.403,0.079,268,49,27,95,25,72
Chennai,600001,2025-04-23,21724,2,127,59.0,83.1,31.5,82.5,7.6,0.3,0,0,1,4,0.204,0.13,0.41,0.07,259,61,31,85,17,65
Chennai,600001,2025-04-24,21724,2,127,57.2,70.8,33.4,73.7,7.7,0.5,0,0,1,4,0.193,0.13,0.375,0.084,263,47,37,87,23,69
Chennai,600001,2025-04-25,21724,2,127,60.8,63.4,32.9,88.3,8.8,1.9,0,0,1,4,0.215,0.13,0.433,0.079,272,43,29,111,29,60
Chennai,600001,2025-04-26,21724,2,127,54.8,70.7,33.3,78.6,8.8,0.8,1,0,1,4,0.179,0.13,0.394,0.083,269,44,44,102,17,62
Chennai,600001,2025-04-27,21724,2,127,54.6,60.2,31.9,77.6,8.2,3.1,1,0,1,4,0.177,0.13,0.411,0.07,298,46,35,123,23,71
Chennai,600001,2025-04-28,21724,2,127,44.9,60.7,33.8,79.4,9.1,4.1,0,0,1,4,0.119,0.13,0.418,0.088,277,33,47,109,30,58
Chennai,600001,2025-04-29,21724,2,127,55.7,73.1,32.5,73.9,7.4,0.0,0,0,1,4,0.184,0.13,0.376,0.075,258,44,34,91,24,65
Chennai,600001,2025-04-30,21724,2,127,59.5,70.2,33.5,81.0,8.7,0.0,0,0,1,4,0.207,0.13,0.404,0.085,264,54,30,89,21,70
Chennai,600001,2025-05-01,21724,2,127,49.5,66.3,33.2,76.7,8.2,2.4,0,0,0,5,0.147,0.1,0.387,0.082,266,45,19,105,20,77
Chennai,600001,2025-05-02,21724,2,127,44.9,41.1,31.7,74.6,9.2,0.3,0,0,0,5,0.12,0.1,0.378,0.07,241,29,25,111,17,59
Chennai,600001,2025-05-03,21724,2,127,57.9,78.3,33.4,73.1,7.8,5.2,1,0,0,5,0.197,0.1,0.393,0.084,266,51,26,95,30,64
Chennai,600001,2025-05-04,21724,2,127,54.1,63.5,33.5,79.8,8.6,0.6,1,0,0,5,0.175,0.1,0.399,0.085,268,55,21,107,19,66
Chennai,600001,2025-05-05,21724,2,127,48.3,61.4,35.5,69.9,7.1,0.7,0,0,0,5,0.14,0.1,0.36,0.105,251,49,24,99,27,52
Chennai,600001,2025-05-06,21724,2,127,42.6,71.4,32.2,71.7,9.2,0.4,0,0,0,5,0.106,0.1,0.367,0.072,247,31,32,91,18,75
Chennai,600001,2025-05-07,21724,2,127,47.7,52.0,31.0,83.3,8.1,1.3,0,0,0,5,0.136,0.1,0.413,0.07,276,42,30,121,17,66
Chennai,600001,2025-05-08,21724,2,127,51.4,69.8,31.4,77.2,7.5,1.1,0,0,0,5,0.158,0.1,0.389,0.07,233,33,21,106,15,58
Chennai,600001,2025-05-09,21724,2,127,44.4,65.4,34.5,76.0,8.1,0.1,0,0,0,5,0.117,0.1,0.384,0.095,240,26,22,107,22,63
Chennai,600001,2025-05-10,21724,2,127,58.0,76.7,33.6,80.3,9.1,0.2,1,0,0,5,0.198,0.1,0.401,0.086,262,48,32,111,11,60
Chennai,600001,2025-05-11,21724,2,127,44.7,63.3,32.6,76.3,8.0,0.2,1,0,0,5,0.118,0.1,0.385,0.076,272,35,41,109,17,70
Chennai,600001,2025-05-12,21724,2,127,43.6,58.4,29.9,79.0,8.6,1.4,0,0,0,5,0.112,0.1,0.396,0.07,246,34,30,97,14,71
